model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
TinyLlama/TinyLlama-1.1B-Chat-v1.0,11,11,4,7,FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5-16k | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.5 | AdaptLLM/medicine-LLM,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,11,11,4,7,FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | AdaptLLM/medicine-LLM,
TinyLlama/TinyLlama_v1.1,7,7,1,6,lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5,
TinyLlama/TinyLlama_v1.1_math_code,11,11,4,7,lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-chemical | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM,
Writer/palmyra-mini,35,35,34,1,beyoru/Luna,
XiaomiMiMo/MiMo-7B-Base,2,2,2,0,,1.5
abocide/Qwen2.5-7B-Instruct-R1-forfinance,12,12,12,0,,3.833333
acon96/Home-Llama-3.2-3B,31,31,11,20,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | allenai/llama-3.1-tulu-2-8b | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | HuggingFaceTB/SmolLM3-3B | allenai/Llama-3.1-Tulu-3-8B-SFT | HuggingFaceTB/SmolLM3-3B-Base,
adamo1139/Apertus-8B-Instruct-2509-ungated,10,10,1,9,bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8,
aisingapore/Llama-SEA-LION-v3-8B,32,32,15,17,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | inference-net/Schematron-3B | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | acon96/Home-Llama-3.2-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base,
allenai/Llama-3.1-Tulu-3-8B-SFT,21,21,16,5,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | S4nfs/Neeto-1.0-8b | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B,
allenai/OLMoE-1B-7B-0924,4,4,0,4,EleutherAI/pythia-1.4b | EleutherAI/pythia-2.8b | EleutherAI/pythia-1b | EleutherAI/pythia-6.9b,
allenai/llama-3.1-tulu-2-8b,31,31,15,16,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | S4nfs/Neeto-1.0-8b | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | HuggingFaceTB/SmolLM3-3B-Base,
allura-org/Koto-Small-7B-PT,4,4,2,2,Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-0.5B,
arcee-ai/Llama-3.1-SuperNova-Lite,27,27,15,12,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-bnb-4bit,
arcee-ai/Meraj-Mini,12,12,12,0,,3.833333
argilla/distilabeled-Marcoro14-7B-slerp,31,31,17,14,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
askfjhaskjgh/UbermenschetienASI,32,32,16,16,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | inference-net/Schematron-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | acon96/Home-Llama-3.2-3B | HuggingFaceTB/SmolLM3-3B-Base,
augmxnt/shisa-base-7b-v1,0,0,0,0,,
bardsai/jaskier-7b-dpo-v5.6,38,38,17,21,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5,
berkeley-nest/Starling-LM-7B-alpha,31,31,1,30,argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | shadowml/BeagSake-7B | mlabonne/Beagle14-7B | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | shadowml/WestBeagle-7B | FelixChao/Sectumsempra-7B-DPO | shadowml/BeagleSempra-7B | mlabonne/NeuralBeagle14-7B | CorticalStack/pastiche-crown-clown-7b-dare | fblgit/UNA-TheBeagle-7b-v1 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/OmniBeagle-7B | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | kevin009/llamaRAGdrama | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | HuggingFaceH4/zephyr-7b-beta | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,
beruniy/Llama-3.2-3B-Instruct-Uz,23,23,12,11,elyza/Llama-3-ELYZA-JP-8B | aisingapore/Llama-SEA-LION-v3-8B | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | arcee-ai/Llama-3.1-SuperNova-Lite | meta-llama/Llama-Guard-3-8B | allenai/llama-3.1-tulu-2-8b,
beyoru/Luna,11,11,0,11,Qwen/Qwen3-4B-Instruct-2507 | Tesslate/WEBGEN-4B-Preview | DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | janhq/Jan-v1-4B | huihui-ai/Huihui-Jan-v1-4B-abliterated | Qwen/Qwen3-4B | Tesslate/UIGEN-X-4B-0729 | Qwen/Qwen2.5-3B | unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,
bigcode/starcoder2-3b,0,0,0,0,,
bigscience/bloom-560m,10,10,2,8,adamo1139/Apertus-8B-Instruct-2509-ungated | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
bigscience/bloomz-1b1,10,10,2,8,adamo1139/Apertus-8B-Instruct-2509-ungated | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
bigscience/bloomz-1b7,1,1,0,1,google/gemma-2b-it,
bigscience/bloomz-560m,10,10,2,8,adamo1139/Apertus-8B-Instruct-2509-ungated | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
bxod/Llama-3.2-1B-Instruct-uz,26,26,12,14,aisingapore/Llama-SEA-LION-v3-8B | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | microsoft/UserLM-8b | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | HuggingFaceTB/SmolLM3-3B-Base | allenai/llama-3.1-tulu-2-8b | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k,
chatitcloud/UZI1,11,11,4,7,adamo1139/Apertus-8B-Instruct-2509-ungated | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-560m | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,32,32,15,17,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | S4nfs/Neeto-1.0-8b | acon96/Home-Llama-3.2-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,
continuedev/instinct,3,3,3,0,,1.666667
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,12,12,12,0,,3.833333
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,33,33,0,33,allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | gradientai/Llama-3-8B-Instruct-262k | nvidia/OpenMath2-Llama3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | aisingapore/Llama-SEA-LION-v3-8B | elyza/Llama-3-ELYZA-JP-8B | askfjhaskjgh/UbermenschetienASI | S4nfs/Neeto-1.0-8b | NousResearch/Hermes-3-Llama-3.1-8B | inference-net/Schematron-3B | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | acon96/Home-Llama-3.2-3B | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | meta-llama/Llama-Guard-3-8B | HuggingFaceTB/SmolLM3-3B-Base | HuggingFaceTB/SmolLM3-3B,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,20,20,19,1,Aurore-Reveil/Koto-Small-7B-IT,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,14,14,0,,11.357143
deepseek-ai/deepseek-coder-1.3b-base,10,10,0,10,PharMolix/BioMedGPT-LM-7B | Biomimicry-AI/ANIMA-Nectar-v2 | EleutherAI/polyglot-ko-3.8b | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | mistralai/Mistral-7B-Instruct-v0.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | lmsys/vicuna-7b-v1.5 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,
dicta-il/dictalm2.0,31,31,0,31,Nexusflow/Starling-LM-7B-beta | mlabonne/Marcoro14-7B-slerp | shadowml/WestBeagle-7B | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/BeagSake-7B | HuggingFaceH4/zephyr-7b-beta | mlabonne/Beagle14-7B | mistralai/Mistral-7B-v0.1 | shadowml/BeagleSempra-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/NeuralBeagle14-7B | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/OmniBeagle-7B | berkeley-nest/Starling-LM-7B-alpha | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | BioMistral/BioMistral-7B | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | SciPhi/SciPhi-Mistral-7B-32k | CultriX/NeuralTrix-bf16 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | kevin009/llamaRAGdrama | BioMistral/BioMistral-7B-DARE | Intel/neural-chat-7b-v3-1 | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2,
dnotitia/Smoothie-Qwen3-1.7B,3,3,3,0,,1.666667
dphn/Dolphin3.0-Llama3.1-8B,26,26,15,11,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | S4nfs/Neeto-1.0-8b | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | acon96/Home-Llama-3.2-3B | HuggingFaceTB/SmolLM3-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,
elyza/Llama-3-ELYZA-JP-8B,33,33,16,17,S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | HuggingFaceTB/SmolLM3-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,33,33,17,16,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base,
fblgit/UNA-TheBeagle-7b-v1,34,34,17,17,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | deepseek-ai/deepseek-coder-1.3b-base,
flemmingmiguel/MBX-7B-v3,32,32,17,15,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2 | dicta-il/dictalm2.0 | deepseek-ai/deepseek-coder-1.3b-base,
fluently/FluentlyQwen3-1.7B,6,6,6,0,,7.5
google/gemma-2-2b-it,4,4,4,0,,3.5
google/gemma-2-2b-jpn-it,3,3,3,0,,5.0
google/gemma-2b-it,3,3,3,0,,11.333333
google/gemma-3-1b-it,0,0,0,0,,
google/gemma-3-1b-pt,11,11,4,7,adamo1139/Apertus-8B-Instruct-2509-ungated | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-560m | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7,
google/gemma-3-270m,11,11,4,7,adamo1139/Apertus-8B-Instruct-2509-ungated | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7 | bigscience/bloom-560m,
google/gemma-3-4b-it,10,10,4,6,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
google/gemma-3-4b-pt,10,10,4,6,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
gradientai/Llama-3-8B-Instruct-262k,32,32,15,17,S4nfs/Neeto-1.0-8b | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base,
huihui-ai/Huihui-Jan-v1-4B-abliterated,9,9,8,1,beyoru/Luna,
inference-net/Schematron-3B,23,23,10,13,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | aisingapore/Llama-SEA-LION-v3-8B | microsoft/UserLM-8b | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | deepseek-ai/DeepSeek-R1-Distill-Llama-8B,
janhq/Jan-v1-4B,10,10,9,1,beyoru/Luna,
janhq/Jan-v1-edge,16,16,15,1,beyoru/Luna,
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,19,19,19,0,,5.842105
kevin009/llamaRAGdrama,33,33,0,33,flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | FelixChao/Sectumsempra-7B-DPO | mlabonne/NeuralBeagle14-7B | CultriX/NeuralTrix-7B-dpo | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | CultriX/NeuralTrix-bf16 | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/WestBeagle-7B | mlabonne/OmniBeagle-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | PharMolix/BioMedGPT-LM-7B,
lmsys/vicuna-7b-v1.1,11,11,4,7,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v1.0,
lmsys/vicuna-7b-v1.5,11,11,4,7,PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code,
