model1,model2,graph_distance
NousResearch/Hermes-2-Pro-Llama-3-8B,unsloth/Qwen2.5-1.5B-Instruct,
NousResearch/Hermes-2-Pro-Llama-3-8B,unsloth/Qwen2.5-Math-1.5B,
NousResearch/Hermes-2-Pro-Llama-3-8B,unsloth/Qwen2.5-Math-7B-Instruct,
NousResearch/Hermes-2-Pro-Llama-3-8B,unsloth/Qwen3-1.7B-Base,
NousResearch/Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.2-3B,12.0
NousResearch/Hermes-3-Llama-3.1-8B,NousResearch/Meta-Llama-3-8B,1.0
NousResearch/Hermes-3-Llama-3.1-8B,PowerInfer/SmallThinker-3B-Preview,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2-7B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2-7B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-0.5B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-0.5B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-3B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-3B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-7B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-7B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-7B-Instruct-1M,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Coder-0.5B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Coder-0.5B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Coder-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Coder-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Coder-3B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Coder-3B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Coder-7B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Math-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Math-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Math-7B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen2.5-Math-7B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen3-1.7B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen3-1.7B-Base,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen3-4B,
NousResearch/Hermes-3-Llama-3.1-8B,Qwen/Qwen3-4B-Base,
NousResearch/Hermes-3-Llama-3.1-8B,SakanaAI/TinySwallow-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,Writer/palmyra-mini,
NousResearch/Hermes-3-Llama-3.1-8B,acon96/Home-Llama-3.2-3B,12.0
NousResearch/Hermes-3-Llama-3.1-8B,aisingapore/Llama-SEA-LION-v3-8B,3.0
NousResearch/Hermes-3-Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B,4.0
NousResearch/Hermes-3-Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,3.0
NousResearch/Hermes-3-Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,2.0
NousResearch/Hermes-3-Llama-3.1-8B,allenai/llama-3.1-tulu-2-8b,2.0
NousResearch/Hermes-3-Llama-3.1-8B,arcee-ai/Llama-3.1-SuperNova-Lite,3.0
NousResearch/Hermes-3-Llama-3.1-8B,arcee-ai/Meraj-Mini,
NousResearch/Hermes-3-Llama-3.1-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,2.0
NousResearch/Hermes-3-Llama-3.1-8B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,
NousResearch/Hermes-3-Llama-3.1-8B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,dnotitia/Smoothie-Qwen3-1.7B,
NousResearch/Hermes-3-Llama-3.1-8B,dphn/Dolphin3.0-Llama3.1-8B,2.0
NousResearch/Hermes-3-Llama-3.1-8B,google/gemma-2-2b,
NousResearch/Hermes-3-Llama-3.1-8B,google/gemma-2-2b-it,
NousResearch/Hermes-3-Llama-3.1-8B,google/gemma-2-2b-jpn-it,
NousResearch/Hermes-3-Llama-3.1-8B,inference-net/Schematron-3B,12.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,1.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,2.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.2-1B,
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.2-1B-Instruct,11.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.2-3B,11.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.2-3B-Instruct,11.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-Guard-3-8B,2.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Meta-Llama-3-8B,1.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Meta-Llama-3-8B-Instruct,2.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Meta-Llama-3.2-3B,11.0
NousResearch/Hermes-3-Llama-3.1-8B,microsoft/Phi-3.5-mini-instruct,
NousResearch/Hermes-3-Llama-3.1-8B,microsoft/UserLM-8b,2.0
NousResearch/Hermes-3-Llama-3.1-8B,mistralai/Mistral-7B-Instruct-v0.2,
NousResearch/Hermes-3-Llama-3.1-8B,mistralai/Mistral-7B-Instruct-v0.3,
NousResearch/Hermes-3-Llama-3.1-8B,mistralai/Mistral-7B-v0.1,
NousResearch/Hermes-3-Llama-3.1-8B,mistralai/Mistral-7B-v0.3,
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/DLER-R1-1.5B-Research,
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/Llama-3.1-8B-Instruct-FP8,3.0
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/OpenCodeReasoning-Nemotron-7B,
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/OpenMath-Nemotron-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/OpenMath2-Llama3.1-8B,2.0
NousResearch/Hermes-3-Llama-3.1-8B,nvidia/OpenReasoning-Nemotron-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,tiiuae/Falcon3-1B-Base,
NousResearch/Hermes-3-Llama-3.1-8B,tiiuae/Falcon3-1B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Llama-3.1-8B,2.0
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Llama-3.2-1B,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Llama-3.2-1B-Instruct,12.0
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Llama-3.2-3B-Instruct,12.0
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Meta-Llama-3.1-8B-Instruct,3.0
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Phi-3.5-mini-instruct,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Qwen2.5-0.5B,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Qwen2.5-0.5B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Qwen2.5-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Qwen2.5-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Qwen2.5-Math-1.5B,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Qwen2.5-Math-7B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Qwen3-1.7B-Base,
NousResearch/Hermes-3-Llama-3.2-3B,NousResearch/Meta-Llama-3-8B,11.0
NousResearch/Hermes-3-Llama-3.2-3B,PowerInfer/SmallThinker-3B-Preview,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2-7B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2-7B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-0.5B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-0.5B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-3B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-3B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-7B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-7B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-7B-Instruct-1M,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Coder-0.5B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Coder-0.5B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Coder-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Coder-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Coder-3B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Coder-3B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Coder-7B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Math-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Math-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Math-7B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen2.5-Math-7B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen3-1.7B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen3-1.7B-Base,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen3-4B,
NousResearch/Hermes-3-Llama-3.2-3B,Qwen/Qwen3-4B-Base,
NousResearch/Hermes-3-Llama-3.2-3B,SakanaAI/TinySwallow-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,Writer/palmyra-mini,
NousResearch/Hermes-3-Llama-3.2-3B,acon96/Home-Llama-3.2-3B,2.0
NousResearch/Hermes-3-Llama-3.2-3B,aisingapore/Llama-SEA-LION-v3-8B,13.0
NousResearch/Hermes-3-Llama-3.2-3B,allenai/Llama-3.1-Tulu-3-8B,14.0
NousResearch/Hermes-3-Llama-3.2-3B,allenai/Llama-3.1-Tulu-3-8B-DPO,13.0
NousResearch/Hermes-3-Llama-3.2-3B,allenai/Llama-3.1-Tulu-3-8B-SFT,12.0
NousResearch/Hermes-3-Llama-3.2-3B,allenai/llama-3.1-tulu-2-8b,12.0
NousResearch/Hermes-3-Llama-3.2-3B,arcee-ai/Llama-3.1-SuperNova-Lite,13.0
NousResearch/Hermes-3-Llama-3.2-3B,arcee-ai/Meraj-Mini,
NousResearch/Hermes-3-Llama-3.2-3B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,12.0
NousResearch/Hermes-3-Llama-3.2-3B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,
NousResearch/Hermes-3-Llama-3.2-3B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,dnotitia/Smoothie-Qwen3-1.7B,
NousResearch/Hermes-3-Llama-3.2-3B,dphn/Dolphin3.0-Llama3.1-8B,12.0
NousResearch/Hermes-3-Llama-3.2-3B,google/gemma-2-2b,
NousResearch/Hermes-3-Llama-3.2-3B,google/gemma-2-2b-it,
NousResearch/Hermes-3-Llama-3.2-3B,google/gemma-2-2b-jpn-it,
NousResearch/Hermes-3-Llama-3.2-3B,inference-net/Schematron-3B,2.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.1-8B,11.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.1-8B-Instruct,12.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.2-1B,
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.2-1B-Instruct,11.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.2-3B,1.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,1.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-Guard-3-8B,12.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Meta-Llama-3-8B,11.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Meta-Llama-3-8B-Instruct,12.0
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Meta-Llama-3.2-3B,1.0
NousResearch/Hermes-3-Llama-3.2-3B,microsoft/Phi-3.5-mini-instruct,
NousResearch/Hermes-3-Llama-3.2-3B,microsoft/UserLM-8b,12.0
NousResearch/Hermes-3-Llama-3.2-3B,mistralai/Mistral-7B-Instruct-v0.2,
NousResearch/Hermes-3-Llama-3.2-3B,mistralai/Mistral-7B-Instruct-v0.3,
NousResearch/Hermes-3-Llama-3.2-3B,mistralai/Mistral-7B-v0.1,
NousResearch/Hermes-3-Llama-3.2-3B,mistralai/Mistral-7B-v0.3,
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/DLER-R1-1.5B-Research,
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/Llama-3.1-8B-Instruct-FP8,13.0
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/OpenCodeReasoning-Nemotron-7B,
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/OpenMath-Nemotron-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/OpenMath2-Llama3.1-8B,12.0
NousResearch/Hermes-3-Llama-3.2-3B,nvidia/OpenReasoning-Nemotron-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,tiiuae/Falcon3-1B-Base,
NousResearch/Hermes-3-Llama-3.2-3B,tiiuae/Falcon3-1B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Llama-3.1-8B,12.0
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Llama-3.2-1B,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Llama-3.2-1B-Instruct,12.0
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Llama-3.2-3B-Instruct,2.0
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Meta-Llama-3.1-8B-Instruct,13.0
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Phi-3.5-mini-instruct,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Qwen2.5-0.5B,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Qwen2.5-0.5B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Qwen2.5-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Qwen2.5-1.5B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Qwen2.5-Math-1.5B,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Qwen2.5-Math-7B-Instruct,
NousResearch/Hermes-3-Llama-3.2-3B,unsloth/Qwen3-1.7B-Base,
NousResearch/Meta-Llama-3-8B,PowerInfer/SmallThinker-3B-Preview,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2-7B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2-7B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-0.5B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-0.5B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-1.5B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-1.5B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-3B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-3B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-7B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-7B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-7B-Instruct-1M,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Coder-0.5B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Coder-0.5B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Coder-1.5B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Coder-1.5B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Coder-3B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Coder-3B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Coder-7B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Math-1.5B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Math-1.5B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Math-7B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen2.5-Math-7B-Instruct,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen3-1.7B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen3-1.7B-Base,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen3-4B,
NousResearch/Meta-Llama-3-8B,Qwen/Qwen3-4B-Base,
NousResearch/Meta-Llama-3-8B,SakanaAI/TinySwallow-1.5B,
NousResearch/Meta-Llama-3-8B,Writer/palmyra-mini,
NousResearch/Meta-Llama-3-8B,acon96/Home-Llama-3.2-3B,11.0
NousResearch/Meta-Llama-3-8B,aisingapore/Llama-SEA-LION-v3-8B,2.0
NousResearch/Meta-Llama-3-8B,allenai/Llama-3.1-Tulu-3-8B,3.0
NousResearch/Meta-Llama-3-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,2.0
NousResearch/Meta-Llama-3-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,1.0
NousResearch/Meta-Llama-3-8B,allenai/llama-3.1-tulu-2-8b,1.0
NousResearch/Meta-Llama-3-8B,arcee-ai/Llama-3.1-SuperNova-Lite,2.0
NousResearch/Meta-Llama-3-8B,arcee-ai/Meraj-Mini,
NousResearch/Meta-Llama-3-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,1.0
NousResearch/Meta-Llama-3-8B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,
NousResearch/Meta-Llama-3-8B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
NousResearch/Meta-Llama-3-8B,dnotitia/Smoothie-Qwen3-1.7B,
NousResearch/Meta-Llama-3-8B,dphn/Dolphin3.0-Llama3.1-8B,1.0
NousResearch/Meta-Llama-3-8B,google/gemma-2-2b,
NousResearch/Meta-Llama-3-8B,google/gemma-2-2b-it,
NousResearch/Meta-Llama-3-8B,google/gemma-2-2b-jpn-it,
NousResearch/Meta-Llama-3-8B,inference-net/Schematron-3B,11.0
NousResearch/Meta-Llama-3-8B,meta-llama/Llama-3.1-8B,0.0
NousResearch/Meta-Llama-3-8B,meta-llama/Llama-3.1-8B-Instruct,1.0
NousResearch/Meta-Llama-3-8B,meta-llama/Llama-3.2-1B,
NousResearch/Meta-Llama-3-8B,meta-llama/Llama-3.2-1B-Instruct,10.0
NousResearch/Meta-Llama-3-8B,meta-llama/Llama-3.2-3B,10.0
NousResearch/Meta-Llama-3-8B,meta-llama/Llama-3.2-3B-Instruct,10.0
NousResearch/Meta-Llama-3-8B,meta-llama/Llama-Guard-3-8B,1.0
NousResearch/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,0.0
NousResearch/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B-Instruct,1.0
NousResearch/Meta-Llama-3-8B,meta-llama/Meta-Llama-3.2-3B,10.0
NousResearch/Meta-Llama-3-8B,microsoft/Phi-3.5-mini-instruct,
NousResearch/Meta-Llama-3-8B,microsoft/UserLM-8b,1.0
NousResearch/Meta-Llama-3-8B,mistralai/Mistral-7B-Instruct-v0.2,
NousResearch/Meta-Llama-3-8B,mistralai/Mistral-7B-Instruct-v0.3,
NousResearch/Meta-Llama-3-8B,mistralai/Mistral-7B-v0.1,
NousResearch/Meta-Llama-3-8B,mistralai/Mistral-7B-v0.3,
NousResearch/Meta-Llama-3-8B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
NousResearch/Meta-Llama-3-8B,nvidia/DLER-R1-1.5B-Research,
NousResearch/Meta-Llama-3-8B,nvidia/Llama-3.1-8B-Instruct-FP8,2.0
NousResearch/Meta-Llama-3-8B,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
NousResearch/Meta-Llama-3-8B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,
NousResearch/Meta-Llama-3-8B,nvidia/OpenCodeReasoning-Nemotron-7B,
NousResearch/Meta-Llama-3-8B,nvidia/OpenMath-Nemotron-1.5B,
NousResearch/Meta-Llama-3-8B,nvidia/OpenMath2-Llama3.1-8B,1.0
NousResearch/Meta-Llama-3-8B,nvidia/OpenReasoning-Nemotron-1.5B,
NousResearch/Meta-Llama-3-8B,tiiuae/Falcon3-1B-Base,
NousResearch/Meta-Llama-3-8B,tiiuae/Falcon3-1B-Instruct,
NousResearch/Meta-Llama-3-8B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
NousResearch/Meta-Llama-3-8B,unsloth/Llama-3.1-8B,1.0
NousResearch/Meta-Llama-3-8B,unsloth/Llama-3.2-1B,
NousResearch/Meta-Llama-3-8B,unsloth/Llama-3.2-1B-Instruct,11.0
NousResearch/Meta-Llama-3-8B,unsloth/Llama-3.2-3B-Instruct,11.0
NousResearch/Meta-Llama-3-8B,unsloth/Meta-Llama-3.1-8B-Instruct,2.0
NousResearch/Meta-Llama-3-8B,unsloth/Phi-3.5-mini-instruct,
NousResearch/Meta-Llama-3-8B,unsloth/Qwen2.5-0.5B,
NousResearch/Meta-Llama-3-8B,unsloth/Qwen2.5-0.5B-Instruct,
NousResearch/Meta-Llama-3-8B,unsloth/Qwen2.5-1.5B,
NousResearch/Meta-Llama-3-8B,unsloth/Qwen2.5-1.5B-Instruct,
NousResearch/Meta-Llama-3-8B,unsloth/Qwen2.5-Math-1.5B,
NousResearch/Meta-Llama-3-8B,unsloth/Qwen2.5-Math-7B-Instruct,
NousResearch/Meta-Llama-3-8B,unsloth/Qwen3-1.7B-Base,
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2-7B,12.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2-7B-Instruct,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-0.5B,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-0.5B-Instruct,12.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-1.5B,12.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-1.5B-Instruct,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B,2.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,1.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-7B,12.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-7B-Instruct,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-7B-Instruct-1M,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-0.5B,12.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-0.5B-Instruct,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-1.5B,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-1.5B-Instruct,14.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-3B,3.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-3B-Instruct,4.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-7B,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Math-1.5B,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Math-1.5B-Instruct,14.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Math-7B,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Math-7B-Instruct,14.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen3-1.7B,12.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen3-1.7B-Base,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen3-4B,
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen3-4B-Base,
PowerInfer/SmallThinker-3B-Preview,SakanaAI/TinySwallow-1.5B,14.0
PowerInfer/SmallThinker-3B-Preview,Writer/palmyra-mini,13.0
PowerInfer/SmallThinker-3B-Preview,acon96/Home-Llama-3.2-3B,
PowerInfer/SmallThinker-3B-Preview,aisingapore/Llama-SEA-LION-v3-8B,
PowerInfer/SmallThinker-3B-Preview,allenai/Llama-3.1-Tulu-3-8B,
PowerInfer/SmallThinker-3B-Preview,allenai/Llama-3.1-Tulu-3-8B-DPO,
PowerInfer/SmallThinker-3B-Preview,allenai/Llama-3.1-Tulu-3-8B-SFT,
PowerInfer/SmallThinker-3B-Preview,allenai/llama-3.1-tulu-2-8b,
PowerInfer/SmallThinker-3B-Preview,arcee-ai/Llama-3.1-SuperNova-Lite,
PowerInfer/SmallThinker-3B-Preview,arcee-ai/Meraj-Mini,14.0
PowerInfer/SmallThinker-3B-Preview,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
PowerInfer/SmallThinker-3B-Preview,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,14.0
PowerInfer/SmallThinker-3B-Preview,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
PowerInfer/SmallThinker-3B-Preview,dnotitia/Smoothie-Qwen3-1.7B,13.0
