model_id,base_model,relationship_type,Source,Repo Size (GB),Downloaded on rcs-hdd,Criteria,Comment,,,
llama32_1b_instruct_q6_k,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q8_0,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_iq1_m,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_iq1_s,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_iq2_m,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_iq2_xxs,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_iq3_xxs,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q2_k_xl,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q3_k_xl,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q4_k_xl,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q5_k_xl,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q6_k_xl,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q8_k_xl,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
